"","TIME","TIMECD","CNTRYNM","CNTRYCD","CTRLCORR","GOVEFF","PSAVT","REGQUA","RULAW","VOIACC","ANNI","ANNICAPITA","GDP","GDPCAPITA","GGFCE","GNI","GNICAPITA","RRND","GINIINDEX","UNEMPLOY","INCOMEGRP"
"101","2003","YR2003","Maldives","MDV",-0.07650464,0.576517761,1.032264709,0.926884115,0.079446733,-0.999485612,909753630,3060.814431,1052121055,3539.801547,NA,1016714805,3460,NA,NA,NA,"LOWER-MIDDLE"
"102","2003","YR2003","Mali","MLI",-0.744711637,-0.738430738,0.257701814,-0.577274203,0.030082576,0.33616522,4084111104,330.9071872,4714071978,381.9485462,733818535.3,4553871233,340,NA,NA,NA,"LOW"
"103","2003","YR2003","Malta","MLT",0.918518543,0.87883091,1.547776222,1.148790598,1.539959669,1.34463799,NA,NA,5489359281,13772.22072,1041538637,5426514169,12590,688.5214233,NA,7.49,"UPPER-MIDDLE"
"104","2003","YR2003","Mauritania","MRT",-0.074341983,-0.19542174,0.059730738,-0.160814732,-0.616726696,-0.76457721,1946058359,674.9352514,2051147607,711.3824822,395564639,2108847607,710,NA,NA,NA,"LOW"
"105","2003","YR2003","Mauritius","MUS",0.192945927,0.743758678,1.009414434,0.431313217,0.924558163,0.85199517,5192830256,4279.675825,5816559039,4793.722474,818941991.4,5786703986,4410,NA,NA,5.9,"UPPER-MIDDLE"
"106","2003","YR2003","Mexico","MEX",-0.241587132,0.135325372,-0.116878085,0.335378051,-0.377902716,0.34693712,5.89019e+11,5750.486982,7.29335e+11,7120.372121,80473297673,7.16376e+11,7410,325.5497437,NA,3.46,"UPPER-MIDDLE"
"107","2003","YR2003","Moldova","MDA",-0.884173095,-0.660864532,-0.131324723,-0.41021201,-0.539445102,-0.491123885,1767886029,608.9443533,1980907435,682.319096,389834177.3,2211747379,710,758.7108154,34.9,6.38,"LOW"
"108","2003","YR2003","Mongolia","MNG",-0.221844956,-0.219482824,0.963294148,-0.560890138,0.298580945,0.325539052,1394087599,553.9889061,1595297356,633.9465596,227210700.9,1583797331,600,NA,NA,6.77,"LOW"
"109","2003","YR2003","Morocco","MAR",-0.319970191,-0.192235157,-0.407007366,-0.284974277,-0.112911001,-0.752867103,45833503267,1529.187744,58029361339,1936.090088,9071318985,57337363476,1740,NA,NA,11.92,"LOWER-MIDDLE"
"110","2003","YR2003","Mozambique","MOZ",-0.64217937,-0.54416883,0.246098503,-0.61850661,-0.701580405,-0.03117167,5045147615,262.9495127,6303399758,328.5287213,1014451048,6137893605,320,NA,NA,NA,"LOW"
"111","2003","YR2003","Myanmar","MMR",-1.472589135,-1.288119555,-1.153743505,-2.031898499,-1.703699946,-2.081955194,1.04939e+12,22363.5104,7754647428,165.2586951,NA,7114782622,150,NA,NA,NA,"LOW"
"112","2003","YR2003","Namibia","NAM",0.189308584,0.256043524,0.478074342,0.224924058,0.288175642,0.186523661,4518617099,2359.067621,4926439275,2571.982341,1094964092,5160199782,2240,NA,63.3,NA,"LOWER-MIDDLE"
"113","2003","YR2003","Nepal","NPL",-0.588842928,-0.795150697,-1.891852379,-0.414270848,-0.61063081,-0.920003414,6135403170,238.890517,6330473097,246.4858378,548537858.3,6321779211,250,NA,43.8,NA,"LOW"
"114","2003","YR2003","Netherlands","NLD",1.995902896,1.953932524,1.16180563,1.718166828,1.709473133,1.52679491,4.89566e+11,30173.02469,5.8007e+11,35750.97466,1.32841e+11,5.72352e+11,30290,2703.853516,NA,3.59,"HIGH"
